"","Arnica latifolia","Viola praemorsa","Phacelia hastata","Heterotheca villosa","Poa stenantha","Agoseris glauca","Senecio crassulus","Chaenactis douglasii","Ivesia gordonii","Valeriana acutiloba","Indet Indet","Achnatherum lettermanii","Pseudocymopterus montanus","Penstemon whippleanus","Elymus lanceolatus","Carex siccata","Lupinus argenteus","Arenaria congesta","Eriogonum umbellatum"
"Plot 1",0,0,0,1,0,0,3,0,32,0,0,0,0,0,0,0,3,0,0
"Plot 2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 5",0,0,0,2,0,0,0,3,3,0,0,0,0,0,1,0,24,0,5
"Plot 6",0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,1
"Plot 7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,25,0,2
"Plot 9",0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0
"Plot 10",0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,41,0,1
"Plot 11",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,2
"Plot 12",0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1
"Plot 13",0,0,0,3,0,0,0,2,0,0,0,0,0,0,10,0,0,0,7
"Plot 14",0,0,0,2,0,0,0,0,1,0,0,0,0,0,13,0,3,0,3
"Plot 15",0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,61,1,5
"Plot 16",1,0,1,1,0,6,3,4,5,0,0,0,0,0,1,0,70,0,5
"Plot 17",0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,42,0,1
"Plot 18",0,0,0,1,0,0,0,0,9,0,0,0,0,0,2,0,1,0,1
"Plot 19",0,0,0,4,0,0,2,0,25,0,0,0,0,0,3,0,3,0,14
"Plot 20",0,0,0,2,0,1,5,4,12,0,0,1,1,0,10,0,48,9,17
"Plot 21",0,0,1,3,0,0,1,0,2,0,0,4,0,0,2,0,1,0,13
"Plot 22",0,0,2,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,4
"Plot 23",0,0,0,2,0,1,0,0,4,0,0,0,0,0,3,0,6,1,3
"Plot 24",0,0,0,2,0,0,2,0,0,0,0,0,1,0,15,0,1,0,7
"Plot 25",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0
"Plot 27",0,0,0,6,0,5,1,0,8,0,0,1,0,0,9,0,0,1,8
"Plot 28",1,0,5,3,0,1,0,0,20,0,0,0,1,0,13,0,4,1,8
"Plot 29",0,0,1,1,0,0,0,1,1,0,0,0,0,0,9,0,40,0,1
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Plot 31",0,0,1,0,0,0,1,0,0,0,0,3,0,0,11,0,2,0,6
"Plot 32",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,2
"Plot 33",0,0,2,6,5,3,0,0,21,0,0,2,0,0,6,0,28,0,10
"Plot 34",0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,4
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 36",1,0,0,6,0,1,2,0,2,0,0,3,0,0,3,0,23,0,6
"Plot 37",0,0,0,6,0,1,1,0,21,0,0,1,0,0,0,0,49,0,3
"Plot 38",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"Plot 39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Plot 40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2
"Plot 41",3,0,4,2,0,1,3,0,3,0,0,3,0,0,1,0,60,3,8
"Plot 42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40,0,3
"Plot 45",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Plot 46",1,7,8,45,0,23,43,2,18,0,0,1,0,0,8,42,54,11,41
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0
"Plot 49",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,11,0,2
"Plot 50",0,0,0,3,0,0,0,0,9,0,0,0,0,0,1,0,0,0,5
