?,Plot,Tag,X..cm.,Y..cm.,Offset x,Offset y,Year absent twice,Year seedling dead,Is seedling,Notes
,1,1063,195,100,-10,-10,2020,NA,0,NA
,1,2522,185.5,9.7,-5,-5,NA,2020,1,dead
,3,2524,98.5,138,0,10,NA,2020,1,dead
,3,2525,86,132,-5,-5,NA,2020,1,dead
,3,2528,112,119,0,-5,NA,2020,1,dead
,3,2529,115,128,5,0,NA,2020,1,dead
,3,2530,110,138,0,5,NA,2020,1,dead
,5,2366,72,161,-10,-10,2020,NA,0,dead
,5,2533,155,110,5,0,NA,2020,1,dead
,5,2534,180.5,118,5,0,NA,2020,1,dead
,5,2535,134,121,5,5,NA,2020,1,Dead
,6,2543,29,14,-5,-5,NA,2020,1,dead
,6,2544,45,0,0,5,NA,2020,1,dead
,6,2545,119,45,10,-10,NA,2020,1,dead
,7,52,135,80,-10,-10,2020,NA,0,dead
,8,1760,168,168,-10,-10,2020,NA,0,dead
,8,1762,169,167,0,-10,2020,NA,0,pulled
,8,1765,200,118,-10,-10,2020,NA,0,NA
,8,2537,170,158,0,-5,NA,2020,1,dead
,8,2538,161.5,196,0,5,NA,2020,1,dead
,8,2539,100,156,-5,-5,NA,2020,1,dead
,8,2540,113,164,5,-5,NA,2020,1,dead
,8,2654,160,166,-2,-5,NA,2020,1,dead
,8,53,15,80,-10,-10,2020,NA,0,NA
,10,106,85,40,10,0,2020,NA,0,NA
,10,1106,105,83,-10,-10,2020,NA,0,dead
,10,1115,143,190,-10,-10,2020,NA,0,dead
,10,98,55,70,-10,-10,2020,NA,0,dead
,11,1116,111,51,-10,-10,2020,NA,0,"dead, tag found"
,11,1117,101,58,-10,-10,2020,NA,0,dead
,11,2215,73,6,-10,-10,2020,NA,0,dead
,12,2547,83,115,-5,-5,NA,2020,1,dead
,13,144,160,65,10,10,2020,NA,0,dead
,13,2216,34,16,-10,-10,2020,NA,0,dead
,13,2370,86,24,-10,-10,2020,NA,0,dead
,13,2548,9.5,21.5,4,18,NA,2020,1,NA
,13,2549,11.5,48,-10,0,NA,2020,1,Dead
,13,2550,10,0.5,-5,-5,NA,2020,1,NA
,13,2552,81,139.5,-5,-5,NA,2020,1,NA
,13,2579,198,185,-5,-5,NA,2020,1,NA
,13,2580,142,115,-5,-5,NA,2020,1,NA
,13,2596,135.5,35,-5,-5,NA,2020,1,NA
,13,2597,155,59,0,-5,NA,2020,1,NA
,13,2599,123.5,47,-5,-5,NA,2020,1,NA
,13,2600,138,32.5,-5,-5,NA,2020,1,NA
,13,2601,135,39,0,-10,NA,2020,1,NA
,13,2602,143,64.5,1,5,NA,2020,1,NA
,14,151,80,65,-10,-10,2020,NA,0,NA
,14,2646,71,45,-5,-5,NA,2020,1,NA
,14,2647,84,49,0,-5,NA,2020,1,NA
,14,2648,84,51,-1,-9,NA,2020,1,NA
,14,2649,87,82,-5,-5,NA,2020,1,NA
,14,2650,87,84,-5,-5,NA,2020,1,NA
,14,2651,144,118.5,0,5,NA,2020,1,NA
,14,2652,155,134,2,1,NA,2020,1,NA
,14,2653,143,77.5,-5,-5,NA,2020,1,NA
,14,2655,143,70,-5,0,NA,2020,1,NA
,15,1129,135,15,-10,-10,2020,NA,0,NA
,15,1135,77,91,-10,-10,2020,NA,0,NA
,15,165,64,57,-10,-10,2020,NA,0,NA
,15,177,85,170,-10,-10,2020,NA,0,NA
,15,178,90,165,-10,-10,2020,NA,0,NA
,15,179,95,165,-10,-10,2020,NA,0,NA
,15,1800,9,98,-10,-10,2020,NA,0,NA
,15,1801,55,170,-10,-10,2020,NA,0,NA
,15,2656,68,188,-5,-5,NA,2020,1,NA
,16,1810,42,47,-10,-10,2020,NA,0,NA
,16,1821,127,65,-10,-10,2020,NA,0,NA
,16,2603,127,35.5,-5,-5,NA,2020,1,NA
,16,2605,112,54,5,5,NA,2020,1,NA
,16,2606,193,14,0,5,NA,2020,1,NA
,16,2694,103,35,-5,-5,NA,2020,1,NA
,17,1591,31,78,-10,-10,2020,NA,0,NA
,17,1826,90,85,-10,-10,2020,NA,0,NA
,17,1827,153,92,-10,-10,2020,NA,0,NA
,17,2685,29,57,5,-5,NA,2020,1,NA
,17,2686,9,45.5,-5,-5,NA,2020,1,NA
,17,2688,14,52.5,15,-2,NA,2020,1,NA
,17,2689,13,85.5,0,5,NA,2020,1,NA
,17,2690,22,81,-2,9,NA,2020,1,NA
,17,2693,96.5,15,-5,-5,NA,2020,1,NA
,17,306,65,10,-5,0,2020,NA,0,dead
,18,2672,190,156,0,-5,NA,2020,1,NA
,18,2673,187,160.5,5,0,NA,2020,1,NA
,18,2674,168,159,-5,-5,NA,2020,1,NA
,18,2675,100,164,-5,-5,NA,2020,1,NA
,18,2676,47,86,-5,0,NA,2020,1,NA
,18,2677,41,85.3,-5,0,NA,2020,1,NA
,18,2678,48,88,0,5,NA,2020,1,NA
,18,2679,54,63.5,-5,-5,NA,2020,1,NA
,18,2680,46,63.5,2,-2,NA,2020,1,NA
,18,2681,60,67,-5,-5,NA,2020,1,NA
,18,2682,113,28,0.9,0.1,NA,2020,1,NA
,18,2683,155,4,-5,-5,NA,2020,1,NA
,19,1600,171,122,-10,-10,2020,NA,0,NA
,19,1835,180,46,-10,-10,2020,NA,0,NA
,19,2237,172,46,-10,-10,2020,NA,0,NA
,19,2377,83,53,-10,-10,2020,NA,0,NA
,19,2657,54,11.5,-5,-5,NA,2020,1,NA
,19,2659,102,12,-5,-5,NA,2020,1,NA
,19,2661,164,66,-5,-5,NA,2020,1,NA
,19,2662,119,172,0,-5,NA,2020,1,NA
,19,2663,119,180,0,12,NA,2020,1,NA
,19,2664,111,85,0,-5,NA,2020,1,NA
,19,2666,117,160,-5,-5,NA,2020,1,NA
,19,2668,112.5,98,5,-5,NA,2020,1,NA
,19,2669,105,128,-5,-5,NA,2020,1,NA
,19,2671,113,77,0,-5,NA,2020,1,NA
,20,1175,9,7,0,-10,2020,NA,0,NA
,20,1176,3,5,0,-10,2020,NA,0,NA
,20,1862,56,17,-10,-10,2020,NA,0,NA
,20,1877,32,35,-10,-10,2020,NA,0,NA
,20,1882,35,26,-10,-10,2020,NA,0,NA
,20,1889,25,24,-30,-30,2020,NA,0,NA
,20,2382,30,33,-2,-2,2020,NA,0,NA
