"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2020,1,"1050","Lupinus argenteus","Lupinus argenteus",0,53,175,-10,-10,1,1,0,0,0,0,1,,,"dead"
2020,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,0,6.5,4.5,2,0,1,,,
2020,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,0,15.5,5,2,0,1,,,
2020,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,0,6,3,0,0,1,,,
2020,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,0,0,5,5,0,0,1,,,
2020,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,0,11.5,5.5,3,0,1,,,
2020,1,"1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,0,12.5,7.5,4,0,1,,,
2020,1,"2364","Lupinus argenteus","Lupinus argenteus",0,179,50,-10,-10,1,1,0,0,0,0,1,,,"dead"
2020,1,"2519","Lupinus argenteus","Lupinus argenteus",0,185,90,-10,-10,1,1,0,0,0,0,1,,,"dead"
2020,1,"2523","Lupinus argenteus","Lupinus argenteus",0,64.5,160,-5,-5,0,0,15,7.5,0,0,1,,,"New y position"
2020,1,"2522","Eriogonum umbellatum","Eriogonum umbellatum",1,185.5,9.7,-5,-5,1,1,0,0,0,1,1,,,"dead"
2020,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,0,11.5,6,7,0,1,,,
2020,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,0,7,3.5,0,0,1,,,
2020,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,0,40.5,5.5,35,0,1,,,
2020,3,"2524","Eriogonum umbellatum","Eriogonum umbellatum",0,98.5,138,0,10,1,1,0,0,0,1,1,,,"dead"
2020,3,"2525","Eriogonum umbellatum","Eriogonum umbellatum",0,86,132,-5,-5,1,1,0,0,0,1,1,,,"dead;  CR 11/2/21 changed the number of individuals from 0 to 1 as is standard for a total multi-individual death"
2020,3,"2526","Eriogonum umbellatum","Eriogonum umbellatum",0,92,109,-10,0,0,0,4,1,0,1,3,0.9,1,"NA"
2020,3,"2527","Eriogonum umbellatum","Eriogonum umbellatum",0,102.5,109,0,-5,0,0,0.6,1.2,0,1,1,,,"Appears dry"
2020,3,"2528","Eriogonum umbellatum","Eriogonum umbellatum",0,112,119,0,-5,1,1,0,0,0,1,1,,,"dead"
2020,3,"2529","Eriogonum umbellatum","Eriogonum umbellatum",0,115,128,5,0,1,1,0,0,0,1,1,,,"dead"
2020,3,"2530","Eriogonum umbellatum","Eriogonum umbellatum",0,110,138,0,5,1,1,0,0,0,1,1,,,"dead"
2020,3,"2757","Ivesia gordonii","Ivesia gordonii",0,97,129,0,10,0,0,0.7,1.1,0,1,1,,,"NA"
