"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Year.absent.twice","Notes"
1,"1",20,100,-10,-10,2018,"dead"
1,"1052",190,25,-10,-10,2018,"dead"
1,"1054",190,36,-10,-10,2018,"dead"
1,"1055",200,33,-10,-10,2018,"dead"
1,"1058",183,45,-10,-10,2018,"dead"
1,"1059",180,46,-10,-10,2018,"dead"
1,"1064",195,95,-10,-10,2018,"dead"
1,"1065",180,140,-10,-10,2018,"dead"
1,"1066",180,150,-10,-10,2018,"dead"
1,"1067",200,180,-10,-10,2018,"dead"
1,"11",195,93,-10,-10,2018,"dead"
1,"12",195,122,-10,-10,2018,"dead"
1,"13",192,126,-10,-10,2018,"dead"
1,"14",20,130,10,0,2018,"dead, tag lost"
1,"15",195,144,-10,-10,2018,"dead"
1,"1551",179,152,-10,-10,2018,"dead"
1,"16",198,165,-10,-10,2018,"dead"
1,"1743",182,36,-5,-5,2018,"dead"
1,"1745",198,90,-10,0,2018,"dead"
1,"1746",196,146,-5,5,2018,"dead"
1,"1747",198,144,10,0,2018,"dead"
1,"1748",198,167,-5,5,2018,"dead"
1,"1749",198,170,-5,5,2018,"dead"
1,"3",104,19,-10,-10,2018,"dead, tag found"
1,"4",102,26,-10,-10,2018,"dead"
1,"5",153,8,-10,-10,2018,"dead, tag lost"
1,"6",127,55,-10,-10,2018,"dead"
1,"7",198,25,-10,-10,2018,"dead"
1,"8",194,53,-10,-10,2018,"dead"
1,"9",177,85,-10,-10,2018,"dead"
5,"1073",50,80,-10,-10,2018,"dead"
5,"1081",45,181,-10,-10,2018,"dead"
5,"1553",70,83,-10,-10,2018,"dead"
5,"1554",112,37,-10,-10,2018,"dead"
5,"1555",170,130,-10,-10,2018,"dead"
5,"1556",179,125,10,10,2018,"dead"
5,"1750",35,28,-10,-10,2018,"dead"
5,"1752",85,51,-10,-10,2018,"dead"
5,"1753",130,85,-10,-10,2018,"dead"
5,"20",25,28,-10,-10,2018,"dead"
5,"22",48,60,-10,-10,2018,"dead"
5,"27",200,20,-10,-10,2018,"dead"
5,"39",190,105,-10,-10,2018,"dead, tag missing"
6,"1083",170,12,-10,-10,2018,"dead"
6,"1084",170,14,-10,-10,2018,"dead"
6,"1085",170,18,-10,-2,2018,"dead"
6,"1087",182,8,-10,-10,2018,"dead"
6,"43",195,25,-10,-10,2018,"dead"
6,"47",70,90,-10,-10,2018,"dead"
6,"48",70,105,-10,-10,2018,"dead"
8,"1758",164,172,-10,-10,2018,"dead"
8,"1759",156,172,-10,-10,2018,"dead"
8,"1763",185,147,-10,-10,2018,"dead"
8,"59",75,190,-10,-10,2018,"dead"
8,"64",95,170,-10,-10,2018,"dead"
8,"70",170,170,-10,-10,2018,"dead"
10,"100",70,60,-10,-10,2018,"dead"
10,"101",70,45,-10,-10,2018,"dead"
10,"103",80,60,-10,-10,2018,"dead"
10,"104",95,50,-10,-10,2018,"dead"
10,"107",80,35,-10,-10,2018,"dead"
10,"109",80,60,-10,-10,2018,"dead"
10,"1095",8,0,-10,-10,2018,"dead"
10,"1096",13,13,-10,-10,2018,"dead"
10,"1099",16,42,-10,-10,2018,"dead"
10,"110",100,10,-10,-10,2018,"dead"
10,"1100",33,66,-10,-10,2018,"dead"
10,"1102",66,52,-10,-10,2018,"dead"
10,"1103",157,15,-10,-10,2018,"dead"
10,"1105",150,81,-10,-10,2018,"dead"
10,"1107",140,122,-10,-10,2018,"dead"
10,"1111",5,138,-10,-10,2018,"dead"
10,"1112",14,146,-10,-10,2018,"dead"
10,"1113",48,170,-10,-10,2018,"dead"
10,"1114",105,133,-10,-10,2018,"dead"
10,"1768",50,35,-10,-10,2018,"dead"
10,"1769",43,25,-10,-10,2018,"dead"
10,"1770",50,1,-10,-10,2018,"dead"
10,"1771",27,72,-10,-10,2018,"dead"
10,"1772",28,113,-10,-10,2018,"dead"
10,"1775",123,123,-5,-5,2018,"dead"
10,"1776",63,88,-10,0,2018,"dead"
10,"1778",68,97,-10,0,2018,"dead"
10,"1780",75,72,-10,-10,2018,"dead"
10,"1781",82,62,-10,0,2018,"dead"
10,"90",40,30,-10,-10,2018,"dead"
10,"92",28,69,-10,-10,2018,"dead"
10,"93",10,100,-10,-10,2018,"dead"
10,"94",20,115,-10,-10,2018,"dead"
11,"119",90,15,-10,-10,2018,"dead"
11,"1564",69,15,-10,-10,2018,"dead"
11,"1565",75,24,-10,-10,2018,"dead"
11,"1786",26,15,-10,-10,2018,"dead, tag missing"
11,"1789",57,61,-10,-10,2018,"dead"
13,"141",150,60,-10,-10,2018,"dead"
14,"146",65,10,-10,-10,2018,"dead"
14,"147",80,10,-10,-10,2018,"dead"
15,"1127",82,6,-10,-10,2018,"dead"
15,"1128",110,19,-10,-10,2018,"dead"
15,"1131",120,84,-10,-10,2018,"dead"
15,"1134",107,105,-10,-10,2018,"dead"
15,"1136",85,90,-10,-10,2018,"dead"
15,"1138",42,89,-10,-10,2018,"dead"
15,"1139",180,9,-10,-10,2018,"dead"
15,"1142",175,113,-10,-10,2018,"dead"
15,"1143",200,190,-10,-10,2018,"dead"
15,"1146",60,160,-10,-10,2018,"dead"
15,"1569",27,2,-10,-10,2018,"dead"
15,"1574",176,73,-10,-10,2018,"dead"
15,"1575",145,68,-10,-10,2018,"dead"
15,"174",55,180,-10,-10,2018,"dead"
15,"1796",195,190,-10,-10,2018,"dead"
15,"1798",175,10,10,-10,2018,"dead. New position."
15,"1803",113,179,-10,-10,2018,"dead. New position."
15,"1804",175,179,-10,-10,2018,"dead"
15,"1805",117,102,-10,-10,2018,"dead"
15,"189",185,170,-10,-10,2018,"dead"
15,"196",120,95,0,10,2018,"dead"
15,"200",125,40,-10,-10,2018,"dead"
15,"201",135,50,-10,-10,2018,"dead"
15,"202",155,40,-10,-10,2018,"dead"
15,"206",145,30,-10,-10,2018,"dead"
15,"207",155,25,-10,-10,2018,"dead"
15,"210",185,20,-10,-10,2018,"dead"
15,"211",200,25,-10,-10,2018,"dead"
15,"212",195,15,-10,-10,2018,"dead"
15,"213",155,5,-10,-10,2018,"dead"
