"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2019,1,"1050","Lupinus argenteus","Lupinus argenteus",0,53,175,-10,-10,0,FALSE,15.5,6.5,0,0,1,,,
2019,1,"1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,FALSE,9.5,5,3,0,1,,,
2019,1,"1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,FALSE,9.5,5.5,1,0,1,,,
2019,1,"1063","Lupinus argenteus","Lupinus argenteus",0,195,100,-10,-10,1,TRUE,0,0,0,0,1,,,"dead"
2019,1,"1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,FALSE,5.5,3.5,0,0,1,,,
2019,1,"1071","Senecio crassulus","Senecio crassulus",0,197,187,-5,0,0,FALSE,5.5,6,0,0,1,,,"2 stems"
2019,1,"1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,FALSE,11,5,0,0,1,,,
2019,1,"1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,FALSE,11.5,7,6,0,1,,,
2019,1,"2364","Lupinus argenteus","Lupinus argenteus",0,179,50,-10,-10,0,FALSE,3,1.5,0,0,1,,,
2019,1,"2519","Lupinus argenteus","Lupinus argenteus",0,185,90,-10,-10,0,FALSE,2,1,0,0,1,,,"Was originally tagged as 2433 with a blue tag, but since that number was already being used in plot 28, it was replaced with 2519."
2019,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,FALSE,9,6.5,5,0,1,,,"looks ok (looked sick last year)"
2019,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,FALSE,7,3.5,0,0,1,,,
2019,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,FALSE,40,4,70,0,1,,,"equals 2365; new tag, old was lost"
2019,5,"1751","Agoseris glauca","Agoseris glauca",0,115,39,10,-10,0,FALSE,9.5,6,3,0,1,,,
2019,5,"2186","Elymus lanceolatus","Elymus lanceolatus",0,174,108,-10,-10,0,FALSE,12,22,1,0,1,,,
2019,5,"2187","Elymus lanceolatus","Elymus lanceolatus",0,183,107,-10,-10,0,FALSE,16,12,0,0,1,,,
