"","Penstemon whippleanus","NA NA","Valeriana acutiloba","Indet indet","Carex siccata","Eriogonum umbellatum","Phacelia hastata","Elymus lanceolatus","Agoseris glauca","Pseudocymopterus montanus","Ivesia gordonii","Viola praemorsa","Achnatherum lettermanii","Heterotheca villosa","Poa stenantha","Senecio crassulus","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Arnica latifolia"
"Plot 1",0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,3,0,0,3,0
"Plot 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,5,0,1,0,0,3,0,0,2,0,0,0,3,22,0
"Plot 6",0,0,0,0,0,1,0,3,0,0,17,0,0,0,0,0,0,0,0,0
"Plot 7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,1,0,2,24,0
"Plot 9",0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0
"Plot 10",0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,2,38,0
"Plot 11",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,6,0
"Plot 12",0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,7,0,10,0,0,0,0,0,3,0,0,0,2,0,0
"Plot 14",0,0,0,0,0,3,0,13,0,0,1,0,0,2,0,0,0,0,3,0
"Plot 15",0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,1,1,0,49,0
"Plot 16",0,0,0,0,0,6,1,2,6,0,5,0,0,1,0,4,0,4,58,1
"Plot 17",0,0,0,0,0,1,0,8,0,0,0,0,0,3,0,0,0,0,29,0
"Plot 18",0,0,0,0,0,1,0,2,0,0,9,0,0,1,0,0,0,0,1,0
"Plot 19",0,0,0,0,0,14,0,3,0,0,26,0,0,4,0,2,0,0,3,0
"Plot 20",1,0,0,0,0,17,2,9,2,1,12,0,1,5,0,5,10,4,44,0
"Plot 21",0,0,0,0,0,10,2,2,0,0,3,0,4,3,1,1,0,0,1,0
"Plot 22",0,0,0,0,0,4,2,3,1,0,1,0,0,1,0,0,0,0,1,0
"Plot 23",0,0,0,0,0,3,0,3,1,0,4,0,0,2,0,0,0,0,4,0
"Plot 24",0,0,0,0,0,7,0,15,1,1,0,0,0,2,0,4,0,0,1,0
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0
"Plot 27",0,0,0,0,0,7,0,9,6,0,5,0,1,5,0,1,1,0,0,0
"Plot 28",0,0,0,0,0,8,4,13,2,1,18,0,0,3,0,1,1,1,3,1
"Plot 29",0,0,0,0,0,3,1,9,0,0,1,0,0,1,0,0,0,1,26,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,6,1,11,1,0,0,0,4,0,0,1,0,0,1,0
"Plot 32",0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,9,0
"Plot 33",0,0,0,0,0,9,2,6,2,0,14,0,1,8,6,0,0,0,25,0
"Plot 34",0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 36",0,0,0,0,0,6,0,2,2,0,2,0,1,5,2,2,0,0,22,3
"Plot 37",0,0,0,0,0,2,0,0,1,0,21,0,1,7,0,2,0,0,46,0
"Plot 38",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"Plot 39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Plot 40",0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,5,0
"Plot 41",0,0,0,0,0,8,4,1,1,0,3,0,3,2,0,4,6,0,50,3
"Plot 42",0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,37,0
"Plot 45",0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0
"Plot 46",1,0,0,0,39,39,8,8,24,0,19,5,1,43,0,45,13,2,50,1
"Plot 47",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"Plot 49",0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,7,0
"Plot 50",0,0,0,0,0,5,0,1,0,0,9,0,0,3,0,0,0,0,1,0
