"Plot","Heterotheca villosa","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Chaenactis douglasii","Elymus lanceolatus","Eriogonum umbellatum","Agoseris glauca","Arenaria congesta","Arnica latifolia","Phacelia hastata","Pseudocymopterus montanus","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Carex siccata","Viola praemorsa"
"1",1,28,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,4,0,43,2,2,1,0,0,0,0,0,0,0,0,0,0
"11",0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0
"12",0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"13",3,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0
"14",2,1,0,2,0,13,3,0,0,0,0,0,0,0,0,0,0
"15",0,10,0,44,0,0,5,0,1,0,0,0,0,0,0,0,0
"16",0,4,4,42,0,2,4,5,0,1,1,0,0,0,0,0,0
"17",3,0,0,18,0,8,1,0,0,0,0,0,0,0,0,0,0
"18",1,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"19",4,25,3,4,0,3,12,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",7,12,1,27,2,6,16,3,11,0,2,1,1,1,1,0,0
"21",3,3,1,1,0,2,5,0,0,0,1,0,0,4,1,0,0
"22",1,1,0,1,0,3,4,1,0,0,3,0,0,0,0,0,0
"23",2,4,0,4,0,3,3,1,0,0,0,0,0,0,0,0,0
"24",2,0,4,1,0,10,7,1,0,0,0,1,0,0,0,0,0
"25",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",4,5,1,0,0,9,8,6,1,0,0,0,0,1,0,0,0
"28",3,19,2,1,1,10,9,2,1,0,4,1,0,0,0,0,0
"29",1,1,0,19,1,8,3,0,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,1,0,6,6,1,0,0,1,0,0,5,0,0,0
"32",0,8,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0
"33",7,14,0,21,1,8,6,3,0,0,2,0,0,1,7,0,0
"34",0,0,0,1,0,8,4,0,0,0,1,0,0,0,0,0,0
"36",3,3,1,17,0,3,6,3,0,3,0,0,0,1,2,0,0
"37",6,20,1,44,0,0,5,2,0,0,0,0,0,1,0,0,0
"38",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0
"41",4,2,4,29,0,1,7,1,3,3,3,0,0,3,0,0,0
"42",1,0,1,32,0,1,2,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"46",36,17,53,48,1,9,37,28,18,1,8,0,1,1,0,44,6
"47",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",1,2,0,16,3,3,5,0,0,0,1,0,0,0,0,0,0
"50",2,7,1,1,0,2,5,0,0,0,1,0,0,0,0,0,0
"6",0,14,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,6,0,10,2,0,2,0,0,0,1,0,0,0,0,0,0
"9",1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
