"Plot","Ivesia gordonii","Senecio crassulus","Lupinus argenteus","Elymus lanceolatus","Phacelia hastata","Eriogonum umbellatum","Heterotheca villosa","Arenaria congesta","Arnica latifolia","Agoseris glauca","Penstemon whippleanus","Achnatherum lettermanii","Poa stenantha","Chaenactis douglasii","Viola praemorsa","Carex siccata"
"1",5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0
"11",5,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0
"12",4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,8,0,7,3,0,0,0,0,0,0,0,0,0
"14",1,0,0,12,0,3,1,0,0,0,0,0,0,0,0,0
"15",5,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0
"16",3,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
"17",0,0,3,6,0,1,0,0,0,1,0,0,0,0,0,0
"18",4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
"19",24,0,7,4,0,11,4,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",10,1,2,8,0,5,1,13,0,0,2,1,1,0,0,0
"21",1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0
"22",0,0,0,5,2,4,1,1,0,0,1,0,0,1,0,0
"23",3,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0
"24",1,1,0,13,0,5,1,0,0,1,0,0,0,3,0,0
"27",4,0,0,5,0,6,0,1,0,1,0,0,0,1,0,0
"28",3,0,0,9,1,6,2,0,1,0,0,0,0,0,0,0
"29",0,0,1,6,0,1,1,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,6,0,2,0,0,0,0,0,3,0,0,0,0
"32",5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"33",12,1,1,8,1,8,4,0,0,1,0,1,2,1,0,0
"34",0,0,0,6,1,4,0,0,0,0,0,0,0,1,0,0
"36",1,0,0,2,0,4,0,0,5,1,0,1,2,0,0,0
"37",22,1,5,0,0,4,4,0,0,0,0,0,1,0,0,0
"39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"41",1,1,0,2,0,2,3,5,0,0,1,1,0,0,0,0
"42",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46",9,18,0,7,6,22,5,17,1,16,0,1,0,0,4,38
"47",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
"49",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",0,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0
"50",0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"6",8,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"8",3,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0
"9",3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
