"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2023,"1","1060","Ivesia gordonii","Ivesia gordonii",0,172,61,-5,-5,0,0,12,5,3,0,1,,,"flowers eaten"
2023,"1","1061","Ivesia gordonii","Ivesia gordonii",0,171,65,-5,-5,0,0,11,4,2,0,1,,,
2023,"1","1069","Ivesia gordonii","Ivesia gordonii",0,196,146,10,0,0,0,8.5,6,4,0,1,,,
2023,"1","1742","Ivesia gordonii","Ivesia gordonii",0,3,171,-10,-10,0,0,10,5.5,6,0,1,,,
2023,"1","1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,0,14,7,5,0,1,,,
2023,"1","2523","Lupinus argenteus","Lupinus argenteus",0,76,160,-5,-5,0,0,23,11,7,0,1,,,"New position"
2023,"1","2941","Ivesia gordonii","Ivesia gordonii",0,197,21,-5,-5,0,0,1,2,0,0,1,,,
2023,"1","2942","Ivesia gordonii","Ivesia gordonii",0,5,177,0,5,0,0,0.5,0.5,0,0,1,,,
2023,"1","2943","Ivesia gordonii","Ivesia gordonii",0,12,188,-5,-5,0,0,0.5,0.5,0,0,1,,,"Next to rock"
2023,"1","2944","Lupinus argenteus","Lupinus argenteus",0,31,65,-10,-5,0,0,4,3,0,0,1,,,
2023,"1","2945","Ivesia gordonii","Ivesia gordonii",0,194,48,0,5,0,0,0,0,0,0,1,,,
2023,"1","3543","Lupinus argenteus","Lupinus argenteus",0,17,173,-5,-5,0,0,1,0.5,0,1,1,,,"Mostly dead"
2023,"1","3544","Ivesia gordonii","Ivesia gordonii",0,170,77,5,5,0,0,1,1.5,0,1,1,,,
2023,"10","108","Elymus lanceolatus","Elymus lanceolatus",0,101,52,-10,-10,0,0,22,11,0,0,1,,,
2023,"10","112","Ivesia gordonii","Ivesia gordonii",0,119,89,-10,-10,1,0,0,0,0,0,1,,,"died earlier this year"
2023,"10","114","Eriogonum umbellatum","Eriogonum umbellatum",0,101,103,-10,-10,0,0,19.5,2.5,19,0,1,,,
2023,"10","115","Ivesia gordonii","Ivesia gordonii",0,97,110,-10,-10,0,0,13.5,3.5,0,0,1,,,"flowers eaten"
2023,"10","1782","Elymus lanceolatus","Elymus lanceolatus",0,76,33,-10,-10,0,0,28,28,12,0,1,,,
2023,"10","2197","Lupinus argenteus","Lupinus argenteus",0,115,59,-5,0,0,0,1.5,1,0,0,1,,,"1 clump"
2023,"10","2865","Lupinus argenteus","Lupinus argenteus",0,125,124,-10,-10,0,0,1.5,1.5,0,0,1,,,
2023,"10","2971","Phacelia hastata","Phacelia hastata",0,53,51,0,5,0,0,5,4,0,0,1,,,"actually PHAHAS"
2023,"10","91","Lupinus argenteus","Lupinus argenteus",0,48,37,-10,0,1,0,0,0,0,0,1,,,
2023,"10R","3178","Lupinus argenteus","Lupinus argenteus",0,192,12,-5,-5,0,0,2.5,3.5,0,0,1,,,
2023,"10R","3179","Eriogonum umbellatum","Eriogonum umbellatum",0,35,92,-12,-14,0,0,57,3,45,0,1,,,"Check prior year's size on scan"
2023,"10R","3180","Elymus lanceolatus","Elymus lanceolatus",0,25,93,-5,-5,0,0,16,18,3,0,1,,,
2023,"10R","3181","Chaenactis douglasii","Chaenactis douglasii",0,135,122,-5,-5,1,0,0,0,0,0,1,,,
2023,"10R","3182","Chaenactis douglasii","Chaenactis douglasii",0,161,180,-5,-5,1,0,0,0,0,0,1,,,
2023,"10R","3183","Elymus lanceolatus","Elymus lanceolatus",0,8,182,0,-5,0,0,3.5,6,0,0,1,,,"Near reflector for shade"
2023,"11","116","Ivesia gordonii","Ivesia gordonii",0,74,148,-10,-10,0,0,9,4.5,4,0,1,,,
2023,"11","121","Eriogonum umbellatum","Eriogonum umbellatum",0,90,36,0,10,0,0,26.5,3.5,20,0,1,,,
2023,"11","1788","Ivesia gordonii","Ivesia gordonii",0,60,63,-10,-10,0,0,10.5,7.5,10,0,1,,,
2023,"11","1790","Ivesia gordonii","Ivesia gordonii",0,122,148,-10,-10,0,0,10.5,5.5,4,0,1,,,
2023,"11","1791","Ivesia gordonii","Ivesia gordonii",0,112,176,-10,-10,0,0,3.5,3.2,2,0,1,,,
2023,"11","2206","Lupinus argenteus","Lupinus argenteus",0,64,51,-10,-10,0,0,31,14,1,0,1,,,"Some larvae in leaves (cocoon)"
2023,"11","2207","Lupinus argenteus","Lupinus argenteus",0,68,60,-10,-10,0,0,28,16,1,0,1,,,"Some larvae in leaves (cocoon)"
2023,"11","2208","Ivesia gordonii","Ivesia gordonii",0,38,179,-10,-10,0,0,4,5.5,1,0,1,,,
2023,"11","2972","Ivesia gordonii","Ivesia gordonii",0,59,53,-5,-5,0,0,0.2,0.2,0,0,1,,,"dying"
2023,"11","2973","Ivesia gordonii","Ivesia gordonii",0,72,22.5,-5,-5,0,0,0.2,0.7,0,0,1,,,
2023,"11","2974","Ivesia gordonii","Ivesia gordonii",0,43,46,-5,-5,0,0,0.2,0.5,0,0,1,,,
2023,"11","3566","Lupinus argenteus","Lupinus argenteus",0,40,82,-5,-5,0,0,0.8,0.5,0,0,1,,,"dying"
2023,"11","3567","Lupinus argenteus","Lupinus argenteus",0,78,90,-5,-5,0,0,7.5,6.5,0,0,1,,,"2 stems"
2023,"11","3568","Ivesia gordonii","Ivesia gordonii",0,120,20,-5,-5,0,0,1.5,2.2,0,0,1,,,"should be in last year as seedling"
2023,"11","3569","Ivesia gordonii","Ivesia gordonii",0,76,24,-5,-5,0,0,0.3,0.7,0,1,1,,,
2023,"11R","3213","Eriogonum umbellatum","Eriogonum umbellatum",0,166,34,-10,-18,0,0,36,3,51,0,1,,,"Has caterpillar"
2023,"11R","3214","Ivesia gordonii","Ivesia gordonii",0,102,119,-5,-5,0,0,12.5,5,4,0,1,,,
2023,"11R","3215","Ivesia gordonii","Ivesia gordonii",0,121,116,-5,-5,0,0,11,6.5,6,0,1,,,
2023,"11R","3570","Eriogonum umbellatum","Eriogonum umbellatum",0,160,27,-10,0,0,0,21,0.5,0,1,13,0.3,0.3,"all under host (from 6 o'clock to 9 o'clock), left side"
2023,"11R","3571","Eriogonum umbellatum","Eriogonum umbellatum",0,173,45,10,0,0,0,20,0.5,0,1,16,0.5,0.5,"all under host (from 11 o'clock to 3 o'clock), right side"
